OFFENSE,WARD,LATITUDE,LONGITUDE
MOTOR VEHICLE THEFT,3,38.9403198052,-77.0919011073
THEFT F/AUTO,2,38.9140921983,-77.0355271107
THEFT/OTHER,6,38.8973348558,-77.0013047121
THEFT F/AUTO,4,38.939756053,-77.0426037021
THEFT/OTHER,3,38.9348242806,-77.0580805327
MOTOR VEHICLE THEFT,5,38.9270850994,-76.9721653306
THEFT/OTHER,7,38.8653047341,-76.9506125698
THEFT/OTHER,2,38.9009229772,-77.0275514697
THEFT F/AUTO,2,38.8990662048,-77.0270349879
THEFT/OTHER,8,38.8725488467,-76.9766469884
ROBBERY,2,38.9077444217,-77.0684376362
THEFT F/AUTO,6,38.8947842831,-76.9892776048
THEFT/OTHER,4,38.9408025811,-77.0282147904
BURGLARY,2,38.9111305552,-77.0441613696
THEFT F/AUTO,1,38.9349094071,-77.0384520844
MOTOR VEHICLE THEFT,7,38.8856638151,-76.9458241045
THEFT F/AUTO,2,38.9046915572,-77.0345725582
ROBBERY,5,38.9207595334,-76.9789948226
THEFT F/AUTO,2,38.9030502087,-77.0259854276
ROBBERY,8,38.8490896944,-76.9787097105
THEFT/OTHER,2,38.9096515756,-77.0332543444
MOTOR VEHICLE THEFT,2,38.8995781681,-77.050782314
THEFT/OTHER,2,38.9051968264,-77.0606731533
ROBBERY,7,38.8945868657,-76.9292327496
THEFT/OTHER,1,38.933514018,-77.0308682124
THEFT/OTHER,5,38.9222166046,-76.9931402028
THEFT/OTHER,2,38.8983113663,-77.0307877317
THEFT/OTHER,4,38.9577954916,-77.0016979799
THEFT/OTHER,7,38.8979140626,-76.9708314119
THEFT/OTHER,5,38.9434505039,-77.0032607757
THEFT F/AUTO,1,38.9144544119,-77.0259887755
THEFT F/AUTO,2,38.9064410427,-77.0259833194
THEFT F/AUTO,5,38.9171372142,-76.9651340569
ROBBERY,8,38.8701070333,-76.9798901803
THEFT F/AUTO,5,38.9281299557,-76.9800011896
THEFT F/AUTO,5,38.9171372142,-76.9651340569
MOTOR VEHICLE THEFT,5,38.9142137824,-76.9860296578
THEFT F/AUTO,5,38.9196974243,-76.9705258
HOMICIDE,1,38.9169997651,-77.0288524899
THEFT/OTHER,2,38.9056459466,-77.0334911294
THEFT/OTHER,2,38.904699304,-77.0449027348
THEFT/OTHER,5,38.9169972552,-77.0106664658
ASSAULT W/DANGEROUS WEAPON,7,38.8845568031,-76.9250209139
MOTOR VEHICLE THEFT,1,38.9294878847,-77.0188166015
THEFT F/AUTO,1,38.9232611572,-77.022392747
THEFT/OTHER,1,38.9217051624,-77.043451684
THEFT/OTHER,1,38.9245954472,-77.0447387055
THEFT/OTHER,6,38.9060439932,-77.0058844882
THEFT/OTHER,5,38.9055129877,-76.9798763299
ASSAULT W/DANGEROUS WEAPON,7,38.8856770262,-76.9488889497
THEFT F/AUTO,5,38.9096374001,-77.0078029893
THEFT F/AUTO,2,38.8995770168,-77.0477445367
THEFT/OTHER,5,38.902207721,-76.9820115427
THEFT/OTHER,6,38.8789471769,-77.0222972449
THEFT F/AUTO,7,38.8751138974,-76.9687403825
THEFT/OTHER,6,38.8832309303,-76.9949741689
THEFT F/AUTO,4,38.9714701759,-77.025690379
THEFT/OTHER,2,38.9031438349,-77.0396671484
THEFT/OTHER,7,38.9008701974,-76.9459178177
THEFT F/AUTO,6,38.9031201194,-77.0005712469
ASSAULT W/DANGEROUS WEAPON,7,38.8638914189,-76.9471487735
THEFT F/AUTO,7,38.8786535743,-76.9330784555
BURGLARY,1,38.9259430478,-77.037431938
THEFT/OTHER,2,38.9007694106,-77.0336435499
THEFT F/AUTO,2,38.9067488375,-77.0684058978
THEFT/OTHER,1,38.9354972411,-77.0241705089
THEFT/OTHER,3,38.9361950358,-77.0588766912
THEFT/OTHER,6,38.8825456773,-76.9902425041
THEFT/OTHER,6,38.8851343032,-76.9973154556
THEFT F/AUTO,2,38.8983228305,-77.0441887163
ASSAULT W/DANGEROUS WEAPON,7,38.8992501174,-76.9784090744
ASSAULT W/DANGEROUS WEAPON,8,38.8654430351,-76.9828067892
THEFT/OTHER,1,38.9170000824,-77.0307861136
THEFT/OTHER,2,38.9114982891,-77.0319506953
ROBBERY,1,38.9321703091,-77.0302948823
ROBBERY,1,38.9181116633,-77.0288523632
THEFT F/AUTO,1,38.9181127012,-77.0307864786
THEFT F/AUTO,7,38.9046682258,-76.9358046256
THEFT/OTHER,5,38.9062031301,-76.9794323764
ROBBERY,1,38.93334408,-77.0399281158
THEFT/OTHER,7,38.8999764193,-76.9824602061
THEFT F/AUTO,5,38.9340213208,-76.9911175566
ROBBERY,1,38.9262520173,-77.0270380294
THEFT/OTHER,5,38.9209329952,-76.9971570051
THEFT F/AUTO,7,38.8680334374,-76.9594291977
MOTOR VEHICLE THEFT,1,38.921616941,-77.0412984333
THEFT F/AUTO,4,38.9749453559,-77.015568696
THEFT F/AUTO,5,38.9349650783,-76.9821002779
THEFT/OTHER,2,38.8983139331,-77.0288490823
THEFT/OTHER,1,38.9367346817,-77.0352690713
THEFT/OTHER,2,38.905185411,-77.0619979449
THEFT F/AUTO,4,38.9577954916,-77.0016979799
THEFT/OTHER,6,38.8973338677,-76.9989791014
THEFT/OTHER,1,38.9170000824,-77.0307861136
THEFT/OTHER,6,38.9001986979,-76.9869062421
THEFT/OTHER,1,38.9178396339,-77.0384699788
THEFT F/AUTO,2,38.8983125792,-77.0249480334
ROBBERY,8,38.8324785022,-77.0082575523
THEFT F/AUTO,2,38.8990662048,-77.0270349879
THEFT F/AUTO,1,38.9240905147,-77.0235061999
